Ca;Co;Cu;NO3;I;SO4;Cl;B;Zn;Mn;Mo;Fe;K;Mg;Na;PO4;NH4;Al;Ni;chlorophyll_percent;node_count;side_shoots_count;plant_height;true_leaves_count;reproduction_coefficient
1.682036557665182e-05;8.79330215678474e-05;5.570405132750352e-05;2.3138063637684804e-05;5.024272871663764e-05;7.314863597031158e-05;9.581180089194338e-05;2.204460042454189e-05;8.861817721293452e-05;9.343041141674904e-05;9.164205445320662e-05;6.354143568619099e-05;6.298206544347077e-05;4.032106331838228e-05;7.52397882303788e-05;5.31294018350932e-05;6.774380712282945e-05;4.284579038487955e-05;7.31496464043139e-05;0.3;67;50;40;58;1537515
5.598831655769838e-05;7.896736137927558e-05;7.388050500786864e-05;6.252115338575151e-05;9.863821716288922e-05;5.335897301104087e-05;1.1310575650171983e-05;8.282735648159884e-05;2.51853362345709e-05;7.773021481439184e-05;9.571070960000514e-05;6.967955139643412e-05;5.960301609498011e-05;4.603861756750406e-05;3.644098659954033e-05;3.5300475097183624e-05;6.363727057095906e-05;7.512731169377459e-05;6.785170694844144e-05;0.3;62;44;44;48;1506861
6.97015740995268e-05;7.024840839871094e-05;3.594911512197552e-05;2.9359184426449337e-05;8.093611554785137e-05;8.101133946791808e-05;8.670723185801038e-05;9.132405525564714e-05;5.113423988609378e-05;5.015162946871996e-05;7.982951789667751e-05;6.499639307777652e-05;7.019668772577034e-05;7.957926694361011e-05;8.900053418175663e-05;3.379951568515358e-05;3.75582952639944e-05;9.3981939840869e-06;5.78280140996174e-05;0.3;65;49;43;55;1225098
5.206224651714519e-05;3.913328364661927e-05;9.599281205835015e-05;3.350491709384824e-05;7.785458214226891e-05;8.554161546311801e-05;4.356064974809659e-05;3.781718144529312e-05;7.47745820932628e-05;9.12895980306234e-05;7.549317330722383e-05;2.2712636559186563e-05;8.883077474377054e-05;3.875816674368331e-05;5.762294117779344e-05;8.314356192927111e-05;1.8839476740049222e-05;7.845101356775532e-05;5.961627979106776e-05;0.3;62;46;40;51;1223117
5.9877370413361655e-05;9.611244018517174e-05;1.9159494968442305e-05;9.433797189947513e-05;4.01438161998865e-05;5.283989834014866e-05;1.2273931954430897e-05;5.40107438921791e-05;6.112067518581935e-05;9.97701541808524e-05;9.751924110715266e-05;9.663972918742874e-05;3.4838806010205736e-05;9.912664987450436e-05;4.554781515951109e-05;8.518362587619005e-05;2.16319969018972e-05;5.058331796566024e-05;9.660120961276054e-05;0.3;68;48;44;53;1191731
8.500840213306362e-05;9.483637310214804e-05;3.612496945736047e-05;5.1864628942166926e-05;7.79095255812996e-05;5.620781375656488e-05;9.934835217062496e-05;4.557133651568284e-05;7.139427112073776e-05;7.925911401965442e-05;4.9410041575843947e-05;8.569838057113758e-05;5.461545912071965e-05;4.1165079680163146e-05;1.0782367385194702e-05;3.934135763504242e-05;7.339364547332843e-05;9.212864116801072e-05;2.516794038603103e-05;0.3;60;46;36;57;1165669
8.792726411829093e-05;7.792031367651079e-05;1.907482637058028e-05;6.940199458245654e-05;6.026329212856349e-05;1.845350507366441e-05;2.7320350605023247e-05;4.089865037338344e-05;6.992427352454739e-05;6.38723408817006e-05;5.32234847676698e-05;7.684105431140343e-05;7.57937739606166e-05;6.178591540622559e-05;7.869900833848253e-05;3.342633747792092e-05;8.812495283226056e-05;6.149100858019408e-05;8.223635138124306e-05;0.3;60;38;45;61;1131253
8.328690417979895e-05;8.506005483015568e-05;8.034235690981629e-05;4.880834771971446e-05;3.814382981490072e-05;8.313762837143706e-05;4.902014585562669e-05;2.4637139862798187e-05;5.073435323222163e-05;1.4184982191924211e-05;6.916294905987989e-05;3.359212816239063e-05;2.606587984474544e-05;9.565087462347452e-05;7.768809957583077e-05;7.870695027239317e-05;6.237219692791834e-05;8.391728105102972e-05;7.591624811633813e-05;0.3;61;42;44;56;1078654
4.636984049399821e-05;3.5335222802605283e-05;5.836561118508721e-05;7.773463696498484e-06;9.743948076661664e-05;9.862107444796028e-05;6.981617140197452e-05;5.360963663441204e-05;3.095276162863278e-05;8.137950197069488e-05;6.847311725538793e-05;1.626169393448913e-05;9.109271844938426e-05;8.22537242923169e-05;9.49799913291924e-05;7.2571950838836e-05;6.134151959357899e-05;4.182430362906189e-05;9.327284833540131e-05;0.3;71;51;48;55;9278246
7.643533864364275e-05;6.237430848640092e-05;7.6230262450096e-05;3.893801668766561e-06;8.371196278306523e-05;6.195262000363034e-05;5.633953507126401e-05;6.246140481145317e-05;8.644332468683642e-05;5.869365065589071e-05;5.8095037988817934e-05;9.906791570657658e-05;7.56730167068568e-05;4.422938054511353e-05;7.073970000329277e-05;3.892304716917885e-05;2.28875462483499e-05;5.968518768877595e-05;9.281820981139516e-05;0.3;61;46;38;55;8822293
8.096742580880733e-05;6.95677663215339e-05;7.657842927157244e-05;4.4120110221293245e-05;7.164762626421669e-05;3.864937228639137e-05;2.112629169381965e-05;6.3267703484136e-05;9.760139255987942e-05;3.106009713953296e-05;4.609695922125397e-05;6.740013710698536e-05;5.415062821224879e-05;8.434277957090493e-05;7.617427064695159e-05;5.829720386235704e-06;9.98421233923774e-05;7.524024537194672e-05;8.639033162941133e-05;0.3;59;39;46;60;8742518
7.920192079401352e-05;9.93367500882089e-05;9.682983146601692e-05;4.895395420941543e-05;6.963758498705658e-05;1.1044312694115113e-05;4.411488250468019e-05;8.090185422666975e-05;5.0533532097714345e-05;7.02699032817232e-05;7.45751329984277e-05;2.534691412428939e-05;8.756993729425656e-05;4.59822430909179e-05;2.101851036215437e-05;8.654158817884439e-05;4.1781880610625366e-05;7.503124383797197e-05;5.48033072221593e-05;0.3;61;40;39;54;8656605
6.966508238768923e-05;9.224993811772957e-05;7.072386343133986e-05;1.5253904291426137e-05;5.762883601668132e-05;6.06715046382856e-05;4.2413067130238605e-05;7.364442356247229e-05;9.343670147690149e-05;9.255685129067764e-05;4.508393714041321e-05;1.1323804584075524e-05;9.848411989623346e-05;8.388980864459342e-05;1.2466268120326684e-05;9.208418826173724e-05;8.698963620621284e-05;5.188380571260721e-05;5.912754357449293e-05;0.3;68;44;40;61;8470943
1.1816482762165628e-05;6.967371653641506e-05;6.28942846779884e-05;8.77472013527053e-05;7.350710438038858e-05;8.034809303848486e-05;2.820345725713065e-05;1.7743954377972284e-05;7.506147516408583e-05;8.068347392672641e-05;9.905051420006734e-05;4.126176769114265e-05;3.720180857927832e-05;7.764129607419969e-05;3.408035402530178e-05;9.307573256035648e-05;8.584127518430119e-05;4.289940273750184e-05;7.508710677914974e-05;0.3;67;45;47;53;8431233
6.129395824945255e-05;9.430758377447076e-05;2.4069271183250497e-05;1.2150137630091808e-05;1.974704898599373e-05;8.869249002092695e-05;6.458108126552061e-05;2.859067892391601e-05;8.159469389686173e-05;8.613699963634361e-05;8.465143386902781e-05;9.189265336395543e-05;2.522410201733616e-05;7.550419287462784e-05;4.6053949727414e-05;8.419985528900616e-05;7.284906771616133e-05;7.764474464997247e-05;6.561618376810715e-05;0.3;67;50;36;57;8202304
7.719062434000892e-05;6.224833190290374e-05;4.759830548605471e-05;7.793632650477184e-05;2.3515557000841705e-05;7.536218805843592e-05;8.653743120928243e-05;8.786215968075724e-05;7.836735930196038e-05;4.080141669982688e-05;9.81808022717827e-05;3.795936438224399e-05;6.386253991024256e-05;1.6107417806946867e-05;9.804488986363928e-05;7.039859218646633e-05;7.533775452463684e-05;6.577670341114462e-06;7.634178142206718e-05;0.3;63;46;44;64;7697806
3.379014257750631e-05;9.981747378924652e-05;8.254144375738108e-05;8.839018149601086e-05;9.370546335657754e-05;3.4093588031419565e-05;2.970769577964727e-05;2.340624925720749e-05;8.301169113081226e-05;6.79551862285185e-05;2.361719824828773e-05;3.769938292104549e-05;5.067117639327983e-05;5.2814005727375374e-05;8.887277285517147e-05;3.805661329472163e-05;9.085240305005124e-05;4.413675603197896e-05;7.463726747923539e-05;0.3;59;34;47;58;7447673
8.234535644704001e-05;7.457411365514028e-05;2.0804665426626923e-05;8.761397846840072e-05;5.257888435355464e-05;8.892900220719557e-05;3.298278294248793e-05;6.205105263543276e-06;4.759759686597461e-05;2.6983760481787768e-05;7.152292897762982e-05;9.571065528560324e-05;6.90974151151564e-05;8.869339297092036e-05;4.530240136012064e-05;7.716407371953018e-05;8.430434366717035e-05;7.108756275835425e-05;5.0777728606956464e-05;0.3;61;43;47;59;6149767
5.444613321491686e-05;1.6844055113191527e-05;7.604646062760668e-05;9.849291084414916e-05;9.45774717008461e-05;1.971060388236521e-05;8.753632399007607e-05;7.044936364116848e-05;4.538465638069116e-05;5.4061099432472906e-05;8.496001749824581e-05;4.801349396383732e-05;3.732073691051269e-05;4.932474930259858e-05;5.791298040350491e-05;1.8907765377834885e-05;9.009077302669908e-05;6.741869488296139e-05;6.332689173374889e-05;0.3;57;43;46;51;6137771
7.756118509253276e-05;9.644766539008116e-05;2.037664591276891e-05;5.233296311947413e-05;2.8713795808457555e-05;7.928544190338395e-05;5.775933658811575e-05;6.345824175503038e-05;7.979141596158941e-05;3.959704726624549e-05;9.150900684070432e-05;5.3302886724614e-05;1.57954822835348e-05;6.958991181688025e-05;7.932613504382544e-05;3.1676167706752666e-05;8.571792569987531e-05;9.061432547657664e-05;2.769044873778089e-05;0.3;61;45;41;57;6103946
6.57845304603036e-05;9.994137257706666e-05;4.821203886055603e-06;9.771741842213174e-05;4.069079607228706e-05;8.707534503372592e-05;7.823854840582735e-05;5.670162609866679e-05;7.384492092513265e-05;8.785155613013479e-05;4.04140321651033e-05;3.2703316156323874e-05;6.675933855635847e-05;8.078459419412586e-05;7.622851347766158e-05;7.978136488586345e-05;4.35583314812933e-05;8.178342161750217e-05;1.2020905537060845e-05;0.3;66;47;44;63;5873156
6.081011868520917e-05;6.240284371728137e-05;4.390946215718754e-05;4.866100436893824e-05;9.595534142999e-05;7.326856913968013e-05;1.10601751482577e-05;2.12130070870611e-05;9.75576634435559e-05;7.264655537935314e-05;9.150451261446532e-05;3.0386146398872205e-05;7.418668600865923e-05;7.140027085235114e-05;2.946899854393751e-05;5.508163254507054e-05;6.274151112702952e-05;4.8113181082746506e-05;8.271787066580128e-05;0.3;63;43;43;54;5668241
3.960243463023462e-05;9.832414364723988e-05;8.084602894771484e-05;1.5994080236692866e-05;2.7776404947725508e-05;3.298158088563611e-05;6.503655604954458e-05;7.569947594896556e-05;7.495266088079098e-05;5.098740563064028e-05;8.108205378381512e-05;4.370780827574751e-05;1.2388056529556192e-05;5.644418416538133e-05;9.523013846011068e-05;7.929936513925114e-05;5.787006476922424e-05;6.46805660349097e-05;9.305620270355728e-05;0.3;64;42;38;55;5666806
7.356426600113653e-05;4.870160405162395e-05;8.131821472844613e-05;9.546376520064684e-05;9.257885494945685e-05;9.092650434553408e-05;5.121699559338872e-05;3.601421141389381e-05;4.650353247306728e-05;6.898960033133607e-05;8.839977768711867e-05;2.069863030001196e-05;9.18193158461703e-05;8.151802319698891e-05;9.788560151782348e-05;8.802517732816872e-05;2.7993732969190667e-05;1.059559113440477e-05;1.122410719915886e-05;0.3;66;44;51;56;5453026
4.65799420865416e-06;7.05113146638995e-05;8.502987365717918e-05;4.3407108181598045e-05;9.285220750424297e-05;5.902990717555996e-05;6.300071354465232e-05;8.454192017007699e-05;2.968002050518389e-05;3.542657213276258e-05;9.059519191946443e-05;9.009634960387638e-05;9.764827762008709e-05;9.018383164416712e-05;1.273720360333609e-05;8.237242861369874e-05;4.098384781095941e-05;9.90801355945938e-05;4.722809643288011e-05;0.3;65;51;45;49;5391789
9.436336706484948e-05;6.934669059640272e-05;9.404013722621856e-05;5.5451255569096506e-05;6.002186110619694e-05;9.76971054626261e-05;6.421291468642604e-05;3.07865688607466e-06;7.238027766305234e-05;9.054686921374158e-05;7.955802497943267e-05;5.838332726254227e-05;6.713035130935163e-05;9.901917892516716e-05;9.066208850933832e-06;6.672448286332396e-05;2.8339769457059383e-05;6.400903965861701e-05;6.076235758839388e-05;0.3;65;50;41;54;5347238
3.324477182476383e-05;5.913425897986418e-05;7.156392360669593e-05;8.890421176901612e-05;8.357874364522002e-05;6.083090281035596e-05;3.883931803838869e-05;5.03204670074964e-05;7.687347933788025e-05;8.77545542559473e-05;1.0378192817667187e-05;3.848562624930535e-05;7.761165984135006e-05;4.31651762593961e-05;3.322277640662839e-05;4.1132269682326965e-05;6.028447467863508e-05;9.998051441338015e-05;4.929924291045318e-05;0.3;55;39;41;53;4565352
4.27541855359712e-05;1.608602934850979e-05;7.003478888665695e-05;7.588681344179497e-05;1.0579652027279896e-05;5.061398526946444e-05;8.146250560259172e-05;9.361630415509966e-05;5.1351786674177e-05;9.502792236114072e-05;5.3568897045602987e-05;3.94190494599908e-05;8.482031285528956e-05;4.9298271045808906e-05;4.719025105645231e-05;4.903124894098283e-05;8.467850018697454e-05;8.319415416880522e-05;4.035199924402112e-05;0.3;58;46;40;53;4240310
7.517469923958405e-05;8.030020719578371e-05;5.1800806640462486e-05;1.40324518193515e-05;6.711574733796888e-05;6.204737850519706e-05;7.422531871990872e-05;1.698810060507353e-05;1.9497519990028924e-05;8.904095172193286e-05;7.499777984520709e-05;9.08228488700323e-05;7.587153211639208e-05;5.971553059903019e-05;6.541327370278737e-05;8.891279239400099e-05;5.7880675451194056e-05;6.323913243283874e-05;1.564767160036006e-05;0.3;64;45;39;53;4122267
4.236193195278204e-06;6.739444490730235e-05;5.373348248430777e-05;4.441442022201197e-05;6.344399411683523e-05;8.276794072035405e-05;4.276929091162047e-05;6.411194650519795e-05;9.535722238351587e-05;8.396244958615607e-05;4.260008105024095e-05;6.44716837814743e-05;1.7707092191593977e-05;5.605221848950899e-05;9.813282911384427e-05;5.183151152025223e-05;9.276382991901472e-05;4.073349205032607e-05;9.988448271846312e-05;0.3;65;44;43;56;4120429
6.340550560109834e-05;7.608914729612402e-05;9.860279281964296e-05;1.804238220813704e-05;7.660258995192964e-05;3.3880116992711296e-05;1.7562646556800234e-05;4.21376941213855e-05;7.938359121486164e-05;4.6484980370405216e-05;5.3752310020304855e-05;9.951594102001211e-05;3.99109299557426e-05;6.154007547092398e-05;3.652442016153719e-05;3.9278564632870494e-05;6.956407534454081e-05;9.378869760948835e-05;5.423589504923214e-05;0.3;54;36;37;48;4067197
9.335931437012516e-05;7.199595393694795e-05;7.53813712978369e-05;2.190591730598833e-05;4.430399766351608e-05;6.178131945892864e-05;7.69973618206601e-05;1.0395937591238958e-05;9.623653164545285e-05;8.90220670554556e-05;2.703485904955844e-05;8.22760243032332e-05;5.183239230398234e-05;4.618064815620187e-05;3.144341058114054e-05;5.8096858663159246e-05;7.298891177035977e-05;4.109329049627583e-05;6.292191930082922e-05;0.3;57;40;33;57;3834187
2.9074386589067392e-05;6.147709531562624e-05;9.027760477645448e-05;9.622915416725867e-05;6.536029525352265e-05;8.381592014010867e-05;5.252022002307972e-05;2.0832694686003973e-05;5.2468841209347744e-05;5.550826014376511e-05;7.424575642135566e-05;2.198829897073491e-05;3.683103820867317e-05;3.640274692145663e-05;9.59439595741165e-05;4.4394496032671896e-05;7.550939672981465e-05;7.50811381374439e-05;2.655441848032413e-05;0.3;56;39;46;52;3814599
7.564468065734964e-06;4.628306571988078e-05;9.892562386150588e-05;7.696001512947323e-05;9.620753780372231e-05;7.796343561334791e-05;8.748819674421443e-05;7.06529632303191e-05;7.605020044172399e-05;5.231780098395007e-05;9.24237700814133e-05;8.250389106233617e-05;8.438849656656322e-05;6.730091009630524e-05;3.04579947087249e-05;3.5629795390139333e-06;9.356551294095446e-05;5.8612034880549696e-05;2.9814297114814027e-05;0.3;62;51;48;54;3788403
7.772285200016578e-05;7.363897900500447e-05;9.677871919334492e-05;1.1488309107878891e-05;5.807248661428058e-05;6.919314196730922e-05;8.900984241876702e-05;8.741096277181508e-05;9.7799979356129e-05;5.120784539376791e-05;8.307608668132266e-05;4.272817081273277e-05;4.2231387785603226e-05;2.5334836447285904e-05;8.182372870192299e-05;9.858151058135155e-05;2.5634172834725788e-05;5.613158802107232e-06;8.155424374190074e-05;0.3;64;46;36;58;3591763
1.0251596406647446e-05;5.1385446420676776e-05;5.088905555910559e-05;3.692807702155411e-05;9.32924862569672e-05;8.275063198732213e-05;6.972093819096368e-05;7.143266357349975e-05;4.617161438131192e-05;9.20994521096576e-05;6.945954272532855e-05;7.289810616558165e-05;8.616909037873453e-05;2.74071589342191e-05;8.07070903866703e-05;1.9524060295649205e-05;3.453419522448879e-05;3.356104542698427e-05;9.785254683891406e-05;0.3;63;49;42;50;3468799
2.3672047585383296e-05;6.280304645695371e-05;8.299395932124435e-05;4.156277820291552e-05;2.583004291275922e-05;8.670116069106005e-05;6.69268291750835e-05;4.480854872830765e-05;4.879001952793019e-05;2.042564679363964e-05;6.268026300648439e-05;3.5874251054288865e-05;9.956451766743492e-05;4.801835152618879e-05;4.858856061896132e-05;5.658517874106719e-05;9.167560031187468e-05;8.008180998597503e-05;4.511300697978414e-05;0.3;55;42;41;54;3369983
8.533171866665861e-05;4.983330282942372e-05;6.0324542268402986e-05;2.272610535596624e-05;5.437870703917469e-05;6.949701331214758e-05;5.151670283865888e-05;9.902851705849413e-05;6.113416562477262e-05;3.7097371259216906e-05;7.721520276158382e-05;1.7046251158164205e-05;3.8451581370626657e-05;3.469589503775859e-05;4.318070951077773e-05;7.817798259287263e-05;4.841730321634075e-05;7.940144502659628e-05;5.764889031398659e-05;0.3;56;41;34;49;3358866
7.800840237349648e-05;7.712248152904037e-05;2.2810037790238515e-05;9.222233181548602e-05;5.925681827648268e-05;3.7992429096201454e-05;5.019355807808607e-05;6.050712534377438e-05;5.598905318457854e-05;4.864050355361783e-05;5.049328040894001e-05;1.764119104278862e-05;8.127329043046794e-05;5.417603199410154e-05;1.310798617047031e-05;7.66157101582778e-05;9.324439783773508e-05;9.47306899236962e-05;3.690177324111728e-05;0.3;58;38;41;58;3035565
3.5523551733050264e-05;1.5396099410442622e-05;6.907228942289688e-05;9.601884300099253e-05;6.409522198481756e-05;6.170765300062263e-05;5.534899305004339e-05;8.845574068553652e-06;7.295038264293837e-05;6.020495435493509e-05;6.614767688562871e-05;8.988110930274217e-05;7.839607870610179e-05;7.809152521545261e-05;9.271837688793476e-05;9.899349514629996e-05;5.8128273196105966e-05;1.0888161603116576e-05;4.591299077754364e-05;0.3;61;41;49;56;3004876
1.3839758596812458e-05;6.657652402653673e-05;5.246723066856223e-05;6.393748005427756e-05;3.3799878102849005e-05;9.06866577339836e-05;5.8736986857557696e-05;8.540248429087384e-06;4.498039907044287e-05;7.563560547436344e-05;7.941345617322724e-05;4.945970527637588e-05;8.94747570831301e-05;2.676684371942976e-05;4.105986972382666e-05;8.985969105689702e-05;8.962567164715789e-05;6.857127688246809e-05;8.589805471222203e-05;0.3;63;46;43;56;2972561
8.191386377516323e-05;5.557035407203013e-05;4.847413573996921e-05;8.350299612668469e-05;9.359740847107244e-05;9.89206525798093e-05;3.9653922756448415e-05;9.909174747945124e-05;1.559262521738315e-05;2.535497759319092e-05;8.90161247338962e-06;2.7173851648448167e-05;7.679375516180111e-05;8.529243581784497e-05;7.788926451025718e-05;6.310657781676963e-05;5.139665125226456e-05;7.087042892136466e-05;3.908335492672218e-05;0.3;59;40;48;55;2948122
1.3789882173033395e-05;5.912429057506141e-05;3.1478562371695794e-05;5.234876680960244e-06;9.486561577065648e-05;6.414903690642879e-05;8.76918931870847e-05;6.760560050132532e-05;3.5698369214011296e-05;5.126880723288114e-05;6.757467603471771e-05;9.602523252014375e-05;2.5366945912169648e-05;8.749770586241177e-05;9.240778052942696e-05;6.704155146589566e-05;9.312666274013378e-05;3.978785874773685e-05;9.530161760404428e-05;0.3;69;49;45;53;2805131
2.277497361032096e-05;9.640288471655138e-05;9.09454610937242e-05;7.221432354559058e-05;5.333866287653626e-05;8.69969159647685e-05;1.3065234382346293e-05;7.90509794274885e-05;1.248208139668483e-05;7.942106625494055e-05;2.757675682513569e-05;8.77090581018189e-05;9.44042093825398e-05;1.4879596940511564e-05;4.626756050653935e-05;9.809873781626853e-05;4.8340743597314665e-05;8.635475225145452e-05;5.887315221313199e-05;0.3;60;42;42;52;2606405
3.385859719415736e-05;2.241722767469018e-05;3.591099429675971e-05;2.3037482236602403e-05;5.794056310866547e-05;7.981708026178452e-05;7.866130612179019e-05;3.6450096454879245e-05;9.887604058942618e-05;5.938543647058008e-05;3.994003017782948e-05;8.355392792414254e-05;7.298740126426408e-05;7.492753368241045e-05;1.961393497338716e-05;4.683243073685552e-05;8.618281308246028e-05;5.040380076287573e-05;6.834527434210503e-05;0.3;57;45;36;53;2443274
3.727770457892867e-05;2.426943984557346e-05;5.174655536537264e-05;8.433611288719896e-05;4.362671348044198e-05;4.333420303683231e-05;9.05350902327037e-05;5.761854125072725e-05;5.661910873974069e-05;2.619098918753894e-05;6.077227478371264e-05;5.759104674173964e-05;3.96851470341864e-05;9.906955658991806e-05;8.818909649480868e-05;7.495862900768156e-05;5.3734558841300056e-05;4.620598018946303e-05;1.8489739522319936e-05;0.3;55;40;43;51;2421177
5.1288260250957375e-05;7.13031456375104e-05;2.7350286582970707e-05;1.2158734953352691e-05;5.560573351914615e-05;3.2697762324273926e-05;4.424913136680374e-05;6.469467083373054e-05;4.941257411412706e-05;6.202788171008429e-05;5.442000021136279e-05;7.397963719360992e-05;7.0593661771162e-05;5.3418989180861925e-05;6.789030208597069e-05;8.735596022726128e-05;4.322712877881686e-05;4.1276307274879365e-05;7.642456208523801e-05;0.3;59;39;36;51;2391961
9.666548190436695e-05;9.636199770892528e-05;8.530094554673601e-05;2.944488920695857e-05;3.850977286019253e-05;8.51136671516857e-05;3.169220051562777e-05;1.694927466860925e-05;5.5680126245835016e-05;9.36154774160781e-05;6.96029796674973e-05;5.70061170089365e-05;9.717649377076854e-06;6.150072266991698e-05;9.900538501042634e-05;1.4008401523652404e-05;5.183296523637368e-05;8.773730719279555e-05;7.407686177542045e-05;0.3;61;43;40;52;2388886
8.314532342453553e-05;8.4961118651108e-05;6.327103099661928e-05;3.525278512638514e-05;7.681102763992053e-06;7.530576099149094e-05;7.26526193609923e-05;9.12602521738901e-05;7.305320210053622e-05;8.28694942244002e-05;7.459546179039996e-05;6.306871883123164e-05;4.2696639419100925e-05;9.02117308642278e-05;6.509685719074699e-05;3.983553219659091e-05;8.346929518195723e-06;2.907048559043821e-05;5.437267348301648e-05;0.3;61;48;35;52;2278028
5.376246007473547e-05;5.168585255373174e-05;9.050840377609536e-05;7.899327210558802e-05;9.090725263612944e-05;2.1824705478115386e-05;5.243754866553567e-05;8.42472128593358e-05;1.1114782746710897e-05;7.946621542939618e-05;1.8297338341486942e-05;8.081187549853212e-05;6.120009375568682e-05;1.9323599148486715e-05;4.733541793328011e-05;6.819051664607717e-05;6.338529008835425e-05;4.272471962317044e-05;8.99366528920927e-05;0.3;56;37;40;49;2124345
